datetime,open,high,low,close,volume
2019-01-18,15.25,15.66,14.78,15.55,22507363.0
2019-01-25,15.45,16.0899,15.44,15.72,16537970.0
2019-02-01,15.83,16.71,15.74,16.68,25028772.0
2019-02-08,16.55,17.2266,16.37,17.22,19423042.0
2019-02-15,17.25,17.46,16.91,17.06,23026310.0
2019-02-22,17.0,18.1,16.86,18.1,14578690.0
2019-03-01,17.52,17.6,16.87,17.5,23912791.0
2019-03-08,17.53,17.95,16.88,17.7,31084904.0
2019-03-15,17.78,18.385,17.74,18.31,18411809.0
2019-03-22,19.0814,19.0814,17.71,18.1,29333416.0
2019-03-29,17.75,18.52,17.75,18.08,20368835.0
2019-04-05,18.1,18.305,17.83,18.27,26646559.0
2019-04-12,18.24,18.27,17.91,18.0,13784545.0
2019-04-19,18.09,18.17,17.53,17.72,12953671.0
2019-04-26,17.67,17.91,17.37,17.46,23052549.0
2019-05-03,17.47,17.51,16.72,16.93,37458570.0
2019-05-10,16.55,16.92,15.87,16.25,37623522.0
2019-05-17,16.09,16.89,15.88,16.34,28644787.0
2019-05-24,16.4,16.91,16.21,16.5,27787476.0
2019-05-31,16.55,16.64,15.71,15.8,21275090.0
2019-06-07,15.5001,17.11,15.5001,16.7,27517256.0
2019-06-14,16.69,17.2,16.24,17.07,17007590.0
2019-06-21,17.14,17.15,16.27,16.76,20756581.0
2019-06-28,16.84,16.87,16.27,16.76,18672002.0
2019-07-05,16.77,17.43,16.66,17.12,16272117.0
2019-07-12,17.05,17.21,16.78,17.05,13290180.0
2019-07-19,17.08,17.8,16.96,17.22,25348177.0
2019-07-26,17.26,17.29,16.75,16.98,14770098.0
2019-08-02,16.93,17.37,16.62,16.83,21730568.0
2019-08-09,16.7,16.787,15.32,15.57,31030963.0
2019-08-16,15.52,15.52,14.625,15.2,22275793.0
2019-08-23,15.5,15.5,14.72,14.9,17653748.0
2019-08-30,14.84,15.405,14.52,15.33,18770647.0
2019-09-06,15.15,15.57,15.09,15.31,15980528.0
2019-09-13,15.28,15.96,14.85,15.79,22716275.0
2019-09-20,15.84,16.19,15.62,16.0977,18528914.0
2019-09-27,16.09,16.53,15.95,16.31,16721562.0
2019-10-04,16.37,16.445,15.62,16.03,16365060.0
2019-10-11,16.1,16.15,15.43,16.01,15616317.0
2019-10-18,16.2,16.48,15.84,16.38,16072992.0
2019-10-25,16.4,17.21,16.33,16.72,21517740.0
2019-11-01,16.8,17.54,16.75,17.51,24914034.0
2019-11-08,17.48,17.835,17.12,17.64,24815316.0
2019-11-15,17.65,18.48,17.56,18.45,30357137.0
2019-11-22,18.45,18.86,18.3,18.8,34652720.0
2019-11-29,18.8,19.03,18.58,18.91,15201605.0
2019-12-06,18.91,19.07,18.69,18.72,25101344.0
2019-12-13,18.71,19.23,18.64,18.92,19994823.0
2019-12-20,19.01,19.96,18.81,19.805,34451390.0
2019-12-27,19.86,19.99,19.55,19.98,6651590.0
2020-01-03,19.95,20.12,19.74,19.8,14605224.0
2020-01-10,19.8,21.6171,19.74,20.18,15569258.0
2020-01-17,20.19,20.5965,20.14,20.5,15339667.0
2020-01-24,20.5,20.71,20.25,20.4,12041491.0
2020-01-31,20.31,20.39,19.79,19.86,13532864.0
2020-02-07,19.93,20.905,19.5101,20.5,13810384.0
2020-02-14,20.5,21.1,20.38,20.93,13470210.0
2020-02-21,20.94,21.23,20.6581,20.75,9844459.0
2020-02-28,20.6,20.6,15.75,16.92,31332712.0
2020-03-06,16.75,18.43,15.89,16.82,36068706.0
2020-03-13,15.95,15.95,11.7,13.0,32466742.0
2020-03-20,11.88,13.0,8.11,11.7,39323166.0
2020-03-27,11.65,13.83,11.53,13.46,33949112.0
2020-04-03,13.45,13.96,12.125,12.24,29631334.0
2020-04-10,12.9,15.71,12.8,14.5,20432858.0
2020-04-17,14.69,14.89,12.01,13.0,32737987.0
2020-04-24,12.99,13.135,12.21,12.86,19723283.0
2020-05-01,13.14,14.475,12.6,12.9401,20354562.0
2020-05-08,12.6601,13.21,12.07,12.97,25863033.0
2020-05-15,12.95,12.95,11.0,11.71,32911822.0
2020-05-22,11.1423,13.5,11.1423,12.3399,27873638.0
2020-05-29,12.46,13.31,12.3,12.6,25431730.0
2020-06-05,12.57,15.06,12.33,14.2,32278372.0
2020-06-12,14.5,15.075,12.0,12.79,32397836.0
2020-06-19,12.5,13.91,12.0304,13.34,32219362.0
2020-06-26,13.35,14.3999,13.18,13.85,42612514.0
2020-07-03,14.19,14.8533,13.19,14.48,27060548.0
2020-07-10,14.48,15.05,13.74,14.36,23890579.0
2020-07-17,14.38,15.79,14.37,15.67,27785853.0
2020-07-24,15.58,15.9,14.89,15.64,21877300.0
2020-07-31,15.27,15.625,14.83,15.49,18078081.0
2020-08-07,15.23,17.3,14.95,17.15,30052214.0
2020-08-14,17.1,18.0,16.7,17.57,26541472.0
2020-08-21,17.5,18.18,17.26,18.02,18442953.0
2020-08-28,18.12,18.18,17.43,17.86,15191027.0
2020-09-04,17.79,18.34,17.125,17.57,18430092.0
2020-09-11,17.5,17.85,17.1,17.7,15704208.0
2020-09-18,18.0,19.12,17.605,18.88,25195920.0
2020-09-25,18.36,18.53,17.42,17.99,21761600.0
2020-10-02,18.3049,18.545,17.46,18.54,23376830.0
2020-10-09,18.7,19.6899,18.42,19.32,23863835.0
2020-10-16,19.32,20.03,19.21,19.9,18868844.0
2020-10-23,19.9,20.76,19.68,20.65,22711801.0
2020-10-30,20.75,20.98,18.98,19.8,23316110.0
2020-11-06,19.49,21.95,19.49,20.41,23449632.0
2020-11-13,22.01,22.32,20.28,20.87,26348898.0
2020-11-20,21.3,21.55,20.38,20.48,31588605.0
2020-11-27,20.6232,21.28,20.36,21.04,16323567.0
2020-12-04,21.0,21.535,20.27,21.07,24094880.0
2020-12-11,21.08,21.345,20.522,20.94,20104284.0
2020-12-18,21.34,22.69,21.165,22.54,28907637.0
2020-12-25,22.5,23.56,22.08,23.27,17265761.0
2021-01-01,23.37,23.9739,22.46,23.7,17491362.0
2021-01-08,24.0,25.445,23.02,25.3008,25370441.0
2021-01-15,25.42,27.815,25.02,27.6,26335876.0
2021-01-22,27.6,28.675,26.93,27.1,22566629.0
2021-01-29,27.0,27.35,22.82,24.4,50917587.0
2021-02-05,24.39,27.1,24.29,26.85,32016535.0
2021-02-12,26.6,28.78,26.6,28.78,25843271.0
2021-02-19,28.6,29.07,27.3699,28.18,22435075.0
2021-02-26,28.19,29.5,25.54,26.557965,38741063.0
2021-03-05,26.57,27.3,24.83,25.99,44500494.0
2021-03-12,25.8,28.51,25.75,28.45,27110709.0
2021-03-19,27.34,28.76,25.904,26.22,35168502.0
2021-03-26,26.31,26.4592,25.0208,26.32,27821145.0
2021-04-02,26.32,27.38,25.975,27.15,17909403.0
2021-04-09,27.32,28.015,26.92,27.72,26069867.0
2021-04-16,27.8475,28.85,27.29,28.62,18803314.0
2021-04-23,28.3,28.86,27.77,28.3,21347179.0
2021-04-30,28.44,28.5,24.85,27.87,17515689.0
2021-05-07,27.83,28.13,24.8273,25.79,44067844.0
2021-05-14,26.5,26.5,24.125,25.37,24994531.0
2021-05-21,25.37,25.685,24.3401,25.08,31344105.0
2021-05-28,25.25,25.92,24.17,25.41,21545630.0
2021-06-04,25.57,25.8,24.63,24.96,15351161.0
