Сделка 549: Открыта 2015-03-16, Закрыта 2015-08-26, PnL=291.82, Return=3536.85%
Сделка 550: Открыта 2015-03-16, Закрыта 2015-09-24, PnL=291.75, Return=4043.58%
Сделка 551: Открыта 2015-03-16, Закрыта 2015-09-25, PnL=-41.61, Return=-591.61%
Сделка 552: Открыта 2015-09-25, Закрыта 2015-09-29, PnL=-167.12, Return=-2407.35%
Сделка 553: Открыта 2015-09-30, Закрыта 2015-10-08, PnL=1511.39, Return=22060.00%
Сделка 554: Открыта 2015-11-17, Закрыта 2015-12-07, PnL=-337.95, Return=-5060.38%
Сделка 555: Открыта 2015-12-11, Закрыта 2016-01-06, PnL=729.98, Return=11524.14%
Сделка 556: Открыта 2015-12-11, Закрыта 2016-01-11, PnL=-406.92, Return=-6488.88%
Сделка 557: Открыта 2016-01-12, Закрыта 2016-01-14, PnL=-156.92, Return=-2539.54%
Сделка 558: Открыта 2016-01-14, Закрыта 2016-01-20, PnL=-112.74, Return=-1878.47%
Сделка 559: Открыта 2016-01-20, Закрыта 2016-01-29, PnL=1522.41, Return=25010.00%
Сделка 560: Открыта 2016-02-08, Закрыта 2016-02-10, PnL=25.41, Return=381.03%
Сделка 561: Открыта 2016-02-10, Закрыта 2016-02-12, PnL=-597.16, Return=-8906.93%
Сделка 562: Открыта 2016-02-17, Закрыта 2016-03-03, PnL=1378.16, Return=20299.60%
Сделка 563: Открыта 2016-03-03, Закрыта 2016-03-17, PnL=1574.95, Return=21126.34%
Сделка 564: Открыта 2016-06-10, Закрыта 2016-06-14, PnL=-114.27, Return=-1417.49%
Сделка 565: Открыта 2016-06-14, Закрыта 2016-06-16, PnL=-168.28, Return=-2096.78%
Сделка 566: Открыта 2016-06-27, Закрыта 2016-07-11, PnL=1557.23, Return=18910.00%
Сделка 567: Открыта 2016-09-01, Закрыта 2016-10-05, PnL=-157.25, Return=-1798.00%
Сделка 568: Открыта 2016-09-01, Закрыта 2016-10-06, PnL=274.95, Return=3146.48%
Сделка 569: Открыта 2016-09-01, Закрыта 2016-12-02, PnL=47.87, Return=589.02%
Сделка 570: Открыта 2016-09-01, Закрыта 2016-12-14, PnL=-152.65, Return=-1707.59%
Сделка 571: Открыта 2016-09-01, Закрыта 2017-11-13, PnL=713.23, Return=9116.39%
Сделка 572: Открыта 2018-01-17, Закрыта 2018-02-05, PnL=1728.03, Return=19065.47%
Сделка 573: Открыта 2018-01-17, Закрыта 2018-02-06, PnL=-287.44, Return=-3493.76%
Сделка 574: Открыта 2018-01-17, Закрыта 2018-02-08, PnL=-61.94, Return=-767.30%
Сделка 575: Открыта 2018-02-08, Закрыта 2018-02-27, PnL=1592.84, Return=20400.00%
Сделка 576: Открыта 2018-03-23, Закрыта 2018-04-17, PnL=1608.32, Return=19330.00%
Сделка 577: Открыта 2018-03-23, Закрыта 2018-04-18, PnL=-315.05, Return=-3508.40%
Сделка 578: Открыта 2018-07-18, Закрыта 2018-08-06, PnL=1633.43, Return=16370.36%
Сделка 579: Открыта 2018-09-07, Закрыта 2018-10-01, PnL=1098.52, Return=10578.82%
Сделка 580: Открыта 2018-09-07, Закрыта 2018-10-03, PnL=-86.14, Return=-754.12%
Сделка 581: Открыта 2018-10-24, Закрыта 2018-10-26, PnL=-164.65, Return=-1417.00%
Сделка 582: Открыта 2018-10-26, Закрыта 2018-11-06, PnL=1644.58, Return=14270.00%
Сделка 583: Открыта 2018-11-20, Закрыта 2018-12-14, PnL=958.66, Return=8051.69%
Сделка 584: Открыта 2018-11-20, Закрыта 2018-12-18, PnL=-166.10, Return=-1409.10%
Сделка 585: Открыта 2018-12-24, Закрыта 2019-01-09, PnL=1668.65, Return=15110.00%
Сделка 586: Открыта 2019-01-09, Закрыта 2019-01-14, PnL=-123.63, Return=-1032.82%
Сделка 587: Открыта 2019-01-15, Закрыта 2019-02-04, PnL=1738.66, Return=14137.85%
Сделка 588: Открыта 2019-01-15, Закрыта 2019-08-16, PnL=130.01, Return=1081.76%
Сделка 589: Открыта 2019-09-09, Закрыта 2019-09-20, PnL=1284.64, Return=10451.69%
Сделка 590: Открыта 2019-09-09, Закрыта 2019-10-01, PnL=-1.12, Return=-8.44%
Сделка 591: Открыта 2019-10-08, Закрыта 2019-10-22, PnL=1130.90, Return=8904.25%
Сделка 592: Открыта 2019-10-08, Закрыта 2019-10-30, PnL=-35.78, Return=-256.33%
Сделка 593: Открыта 2020-03-12, Закрыта 2020-03-16, PnL=-892.41, Return=-8813.82%
Сделка 594: Открыта 2020-03-16, Закрыта 2020-03-18, PnL=-171.66, Return=-1879.00%
Сделка 595: Открыта 2020-03-18, Закрыта 2020-03-20, PnL=3067.60, Return=38843.98%
Сделка 596: Открыта 2020-03-20, Закрыта 2020-03-24, PnL=1745.54, Return=17690.00%
Сделка 597: Открыта 2020-03-24, Закрыта 2020-03-30, PnL=1762.79, Return=16750.00%
Сделка 598: Открыта 2020-04-01, Закрыта 2020-04-03, PnL=16.69, Return=158.57%
Сделка 599: Открыта 2020-04-07, Закрыта 2020-04-09, PnL=1806.37, Return=16449.48%
Сделка 600: Открыта 2020-04-15, Закрыта 2020-04-28, PnL=1942.97, Return=18755.35%
Сделка 601: Открыта 2020-05-06, Закрыта 2020-05-08, PnL=-181.70, Return=-1726.98%
